,state,2014,2015,2016,2017,2018,Change2015,Change2016,Change2017,ChangeTotal
0,Alabama,10,8,8,8,8,2,0,0,2
1,Alaska,3,3,3,3,3,0,0,0,0
2,Arizona,5,5,5,5,5,0,0,0,0
3,Arkansas,11,11,11,11,11,0,0,0,0
4,California,82,84,86,88,91,-2,-2,-2,-6
5,Colorado,23,23,23,23,23,0,0,0,0
6,Connecticut,74,74,74,74,74,0,0,0,0
7,Delaware,34,34,35,35,35,0,-1,0,-1
8,Florida,20,20,20,20,20,0,0,0,0
9,Georgia,6,6,6,6,6,0,0,0,0
10,Hawaii,61,61,61,61,61,0,0,0,0
11,Idaho,5,6,2,2,2,-1,4,0,3
12,Illinois,49,49,49,49,49,0,0,0,0
13,Indiana,9,9,9,9,9,0,0,0,0
14,Iowa,21,21,21,20,20,0,0,1,1
15,Kansas,8,4,4,4,4,4,0,0,4
16,Kentucky,7,7,7,7,7,0,0,0,0
17,Louisiana,9,9,9,9,9,0,0,0,0
18,Maine,10,8,8,8,8,2,0,0,2
19,Maryland,57,56,56,56,56,1,0,0,1
20,Massachusetts,84,84,84,84,84,0,0,0,0
21,Michigan,20,21,21,21,21,-1,0,0,-1
22,Minnesota,25,27,27,27,27,-2,0,0,-2
23,Mississippi,5,2,2,2,2,3,0,0,3
24,Missouri,8,8,7,2,2,0,1,5,6
25,Montana,3,3,3,3,3,0,0,0,0
26,Nebraska,19,19,19,19,19,0,0,0,0
27,Nevada,11,13,13,19,19,-2,0,-6,-8
28,New Hampshire,5,5,5,4,4,0,0,1,1
29,New Jersey,60,60,60,60,60,0,0,0,0
30,New Mexico,10,10,10,10,10,0,0,0,0
31,New York,60,60,60,60,60,0,0,0,0
32,North Carolina,20,20,20,20,20,0,0,0,0
33,North Dakota,14,14,14,10,10,0,0,4,4
34,Ohio,14,15,15,15,15,-1,0,0,-1
35,Oklahoma,8,8,8,8,8,0,0,0,0
36,Oregon,24,33,33,33,35,-9,0,0,-9
37,Pennsylvania,32,32,32,32,32,0,0,0,0
38,Rhode Island,43,43,43,43,43,0,0,0,0
39,South Carolina,12,12,12,12,12,0,0,0,0
40,South Dakota,4,4,4,4,4,0,0,0,0
41,Tennessee,17,17,15,15,15,0,2,0,2
42,Texas,15,15,13,13,13,0,2,0,2
43,Utah,10,10,10,10,10,0,0,0,0
44,Vermont,3,3,3,3,3,0,0,0,0
45,Virginia,12,12,12,12,12,0,0,0,0
46,Washington,34,34,36,36,36,0,-2,0,-2
47,West Virginia,17,17,11,11,11,0,6,0,6
48,Wisconsin,18,17,17,17,17,1,0,0,1
49,Wyoming,6,6,6,6,6,0,0,0,0
