State,State Number,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,Column1
Alabama,1,4799277,4817678,4830620,4841164,4860545,
Alaska,2,720316,728300,733375,736855,741522,
Arizona,4,6479703,6561516,6641928,6728577,6908642,
Arkansas,5,2933369,2947036,2958208,2968472,2988231,
California,6,37659181,38066920,38421464,38654206,39296476,
Colorado,8,5119329,5197580,5278906,5359295,5530105,
Connecticut,9,3583561,3592053,3593222,3588570,3587685,
Delaware,10,908446,917060,926454,934695,952698,
District of Columbia,11,619371,633736,647484,659009,684336,
Florida,12,19091156,19361792,19645772,19934451,20656589,
Georgia,13,9810417,9907756,10006693,10099320,10313620,
Hawaii,15,1376298,1392704,1406299,1413673,1428683,
Idaho,16,1583364,1599464,1616547,1635483,1680026,
Illinois,17,12848554,12868747,12873761,12851684,12835726,
Indiana,18,6514861,6542411,6568645,6589578,6634007,
Iowa,19,3062553,3078116,3093526,3106589,3130869,
Kansas,20,2868107,2882946,2892987,2898292,2907731,
Kentucky,21,4361333,4383272,4397353,4411989,4436113,
Louisiana,22,4567968,4601049,4625253,4645670,4686157,
Maine,23,1328320,1328535,1329100,1329923,1330232,
Maryland,24,5834299,5887776,5930538,5959902,6024752,
Massachusetts,25,6605058,6657291,6705586,6742143,6823721,
Michigan,26,9886095,9889024,9900571,9909600,9933445,
Minnesota,27,5347740,5383661,5419171,5450868,5525050,
Mississippi,28,2976872,2984345,2988081,2989192,2985415,
Missouri,29,6007182,6028076,6045448,6059651,6091176,
Montana,30,998554,1006370,1014699,1023391,1038656,
Nebraska,31,1841625,1855617,1869365,1881259,1907603,
Nevada,32,2730066,2761584,2798636,2839172,2939254,
New Hampshire,33,1319171,1321069,1324201,1327503,1335015,
New Jersey,34,8832406,8874374,8904413,8915456,8978416,
New Mexico,35,2069706,2080085,2084117,2082669,2085432,
New York,36,19487053,19594330,19673174,19697457,19836286,
North Carolina,37,9651380,9750405,9845333,9940828,10156689,
North Dakota,38,689781,704925,721640,736162,755548,
Ohio,39,11549590,11560380,11575977,11586941,11622554,
Oklahoma,40,3785742,3818851,3849733,3875589,3921207,
Oregon,41,3868721,3900343,3939233,3982267,4085989,
Pennsylvania,42,12731381,12758729,12779559,12783977,12787085,
Rhode Island,44,1051695,1053252,1053661,1054491,1057566,
South Carolina,45,4679602,4727273,4777576,4834605,4959822,
South Dakota,46,825198,834708,843190,851058,861542,
Tennessee,47,6402387,6451365,6499615,6548009,6649404,
Texas,48,25639373,26092033,26538614,26956435,27904862,
Utah,49,2813673,2858111,2903379,2948427,3044321,
Vermont,50,625904,626358,626604,626249,623354,
Virginia,51,8100653,8185131,8256630,8310301,8414380,
Washington,53,6819579,6899123,6985464,7073146,7280934,
West Virginia,54,1853619,1853881,1851420,1846092,1828637,
Wisconsin,55,5706871,5724692,5742117,5754798,5772917,
Wyoming,56,570134,575251,579679,583029,584910,
Puerto Rico,72,3682966,3638965,3583073,3529385,3406520,
